,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,updated_github_id,trending
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2023-01-29 15:29:02,2023-01-28 14:41:48,7862,365.0,2094.0,48814,2022-12-22 14:16:22,5.3.0,24.0,1.0,1.0,195.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-01-03 07:07:11,2022-06-10 09:12:18,12439,676.0,571.0,47134,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,606.0,8.0,,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2023-01-30 10:46:41,2023-01-30 08:41:27,5642,1242.0,5057.0,27864,2022-08-24 09:04:27,2.6.0,6.0,1103.0,1103.0,126.0,24,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-12-05 08:40:38,2022-10-23 22:36:13,7176,198.0,1638.0,25814,2020-11-17 05:48:13,1.7.0,15.0,,,101.0,21,2,705.0,242200.0,3844.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-11-25 06:41:57,2022-11-25 06:41:45,2627,143.0,201.0,25508,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,20,2,753.0,,,,
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2023-01-26 15:42:34,2023-01-21 05:00:08,6052,274.0,2919.0,23441,2021-11-15 22:08:26,0.6,10.0,866.0,866.0,230.0,23,2,,,,,
6,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2023-01-27 22:58:52,2023-01-27 21:55:17,3767,76.0,573.0,23211,2022-11-23 22:11:26,0.6.12,39.0,7473.0,7473.0,92.0,30,1,,2938566.0,66785.0,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2023-01-30 11:19:32,2023-01-30 08:13:21,7453,518.0,6131.0,22757,2023-01-28 12:58:14,2.28.0,46.0,894.0,894.0,390.0,28,1,2189.0,,,,
8,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-12-28 13:15:48,2019-03-31 22:03:47,9783,1814.0,829.0,22604,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1309186.0,20780.0,,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2023-01-25 11:55:33,2023-01-05 14:52:51,8703,421.0,3402.0,22198,2022-12-25 10:21:56,8.0.0,11.0,,,387.0,27,1,18827.0,60886.0,922.0,,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2023-01-20 12:32:32,2022-12-20 21:51:56,5450,452.0,926.0,19105,,,,,,69.0,16,1,523.0,,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2022-12-25 06:26:59,2022-09-22 22:12:32,5517,365.0,356.0,19080,2018-12-03 05:40:38,1.8.1,2.0,727.0,727.0,109.0,24,1,449.0,,,heartexlabs/labelImg,
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2023-01-20 05:58:20,2023-01-06 02:08:21,2365,159.0,555.0,16857,2022-09-15 11:34:18,1.6.2,20.0,2068.0,2068.0,114.0,31,1,569.0,3414399.0,110141.0,,
