,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,trending
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-05-10 12:06:34,2021-05-10 12:06:27,6958,306.0,1764.0,39865,5545.0,2019-12-26 15:43:01,4.1.1,11.0,181.0,22,1,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-03-20 02:37:00,2020-09-26 15:32:59,10947,587.0,537.0,39857,211.0,2018-04-02 17:18:43,1.2.2,2.0,45.0,21,2,441.0,9.0,,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-01-27 23:14:12,2021-01-27 23:13:33,2302,127.0,188.0,21106,743.0,2018-11-18 11:21:02,0.13.2,3.0,38.0,19,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-05-08 07:37:50,2021-04-19 02:53:05,6085,92.0,1552.0,20877,685.0,2020-11-17 05:48:13,1.7.0,15.0,90.0,21,2,170035.0,3954.0,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-04-18 12:48:24,2019-03-31 22:03:47,8641,1576.0,736.0,19940,203.0,2018-03-19 23:26:21,2.1,3.0,47.0,25,1,939310.0,21844.0,132.0,132.0,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-05-10 06:07:59,2021-05-10 06:07:59,6950,776.0,2366.0,18377,17776.0,2020-09-21 21:03:27,6.0.0,9.0,346.0,25,1,47634.0,1035.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-05-07 23:47:06,2021-05-07 23:47:02,4013,82.0,2339.0,16321,1131.0,2021-03-13 01:36:49,0.4,8.0,158.0,26,1,,,229.0,229.0,
7,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-05-06 15:45:10,2020-10-15 22:26:07,4332,336.0,824.0,14920,474.0,,,,58.0,16,1,,,,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-05-10 11:58:46,2021-05-10 02:24:13,4754,248.0,3448.0,14798,1541.0,2021-05-03 05:08:39,2.12.0,12.0,215.0,25,1,,,42.0,42.0,
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-05-10 04:07:15,2021-05-01 15:14:54,4365,258.0,305.0,14177,400.0,2018-12-03 05:40:38,1.8.1,2.0,89.0,24,2,,,258.0,258.0,
