,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-11-28 06:45:20,2022-11-28 06:45:20,7779,359.0,2073.0,47624,2022-07-06 20:22:26,5.2.0,22.0,1.0,1.0,193.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-11-03 21:43:04,2022-06-10 09:12:18,12338,668.0,570.0,46601,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,478.0,7.0,,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-11-28 09:07:24,2022-11-28 08:53:53,5398,1267.0,4666.0,26915,2022-08-24 09:04:27,2.6.0,6.0,966.0,966.0,120.0,24,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-11-04 09:32:42,2022-10-23 22:36:13,7129,194.0,1636.0,25449,2020-11-17 05:48:13,1.7.0,15.0,,,101.0,21,2,705.0,237592.0,3894.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-11-25 06:41:57,2022-11-25 06:41:45,2611,139.0,201.0,25234,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,20,2,753.0,,,,
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-11-26 10:01:58,2022-11-11 19:06:30,5919,269.0,2901.0,22944,2021-11-15 22:08:26,0.6,10.0,802.0,802.0,223.0,22,2,,,,-1.0,
6,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-11-11 02:50:08,2019-03-31 22:03:47,9757,1806.0,824.0,22462,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1284360.0,21055.0,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-11-28 11:03:31,2022-11-23 14:23:53,7282,501.0,6029.0,22216,2022-11-23 14:27:06,2.26.0,43.0,729.0,729.0,377.0,27,1,2162.0,,,,
8,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-11-27 03:46:55,2022-11-27 03:46:55,3619,63.0,557.0,22165,2022-11-23 22:11:26,0.6.12,37.0,6057.0,6057.0,87.0,29,1,,2443113.0,58169.0,,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-11-26 15:09:03,2022-10-11 09:16:07,8630,470.0,3302.0,21934,2021-12-28 13:36:17,7.0.0,10.0,,,379.0,26,1,18099.0,60205.0,940.0,,
