,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
0,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-06-23 16:13:40,2021-06-14 10:10:40,11091,599.0,542.0,40483,219.0,2018-04-02 17:18:43,1.2.2,442.0,8.0,2.0,47.0,21,2,,,
1,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-06-28 08:48:07,2021-06-28 08:48:07,7017,309.0,1794.0,40478,5579.0,2019-12-26 15:43:01,4.1.1,,,11.0,184.0,22,2,,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-06-03 21:54:37,2021-06-03 21:52:26,2324,129.0,190.0,21428,746.0,2018-11-18 11:21:02,0.13.2,,,3.0,39.0,20,1,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-05-08 07:37:50,2021-04-19 02:53:05,6178,118.0,1559.0,21243,685.0,2020-11-17 05:48:13,1.7.0,176526.0,4011.0,15.0,90.0,21,2,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-06-27 20:26:54,2019-03-31 22:03:47,8792,1611.0,751.0,20198,203.0,2018-03-19 23:26:21,2.1,977200.0,22209.0,3.0,47.0,25,2,136.0,136.0,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-06-28 07:36:53,2021-06-23 06:48:55,7097,846.0,2381.0,18677,17789.0,2020-09-21 21:03:27,6.0.0,48695.0,1036.0,9.0,347.0,25,1,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-06-28 03:18:46,2021-06-27 21:06:16,4202,97.0,2399.0,17012,1173.0,2021-03-13 01:36:49,0.4,,,8.0,163.0,26,1,259.0,259.0,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-06-28 05:38:49,2021-06-25 15:24:19,4977,299.0,3625.0,15422,1616.0,2021-06-01 12:11:59,2.13.0,,,13.0,231.0,26,1,67.0,67.0,
8,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-06-01 20:37:51,2020-10-15 22:26:07,4453,347.0,825.0,15303,474.0,,,,,,58.0,16,1,,,
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-06-27 21:42:27,2021-06-27 21:42:27,4472,258.0,312.0,14626,404.0,2018-12-03 05:40:38,1.8.1,,,2.0,91.0,24,2,275.0,275.0,
