,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
0,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-07-03 15:07:14,2021-06-14 10:10:40,11110,600.0,542.0,40577,219.0,2018-04-02 17:18:43,1.2.2,442.0,8.0,2.0,47.0,21,2,,,
1,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-07-04 16:41:44,2021-07-04 16:41:19,7028,313.0,1799.0,40568,5588.0,2019-12-26 15:43:01,4.1.1,,,11.0,185.0,22,2,,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-06-03 21:54:37,2021-06-03 21:52:26,2328,129.0,190.0,21492,746.0,2018-11-18 11:21:02,0.13.2,,,3.0,39.0,20,1,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-05-08 07:37:50,2021-04-19 02:53:05,6194,121.0,1559.0,21292,685.0,2020-11-17 05:48:13,1.7.0,177360.0,3941.0,15.0,90.0,21,2,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-06-27 20:26:54,2019-03-31 22:03:47,8819,1617.0,753.0,20236,203.0,2018-03-19 23:26:21,2.1,981655.0,21814.0,3.0,47.0,25,2,137.0,137.0,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-07-05 12:06:28,2021-07-05 04:57:31,7120,852.0,2388.0,18729,17814.0,2020-09-21 21:03:27,6.0.0,48884.0,1018.0,9.0,350.0,25,1,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-07-02 00:43:05,2021-07-02 00:43:00,4227,95.0,2413.0,17099,1180.0,2021-03-13 01:36:49,0.4,,,8.0,165.0,26,1,264.0,264.0,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-07-05 09:51:39,2021-07-05 07:39:28,5017,268.0,3698.0,15508,1633.0,2021-06-29 14:02:09,2.14.0,,,14.0,234.0,26,1,68.0,68.0,
8,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-06-01 20:37:51,2020-10-15 22:26:07,4460,348.0,825.0,15348,474.0,,,,,,58.0,16,1,,,
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-06-27 21:42:27,2021-06-27 21:42:27,4494,259.0,313.0,14697,404.0,2018-12-03 05:40:38,1.8.1,,,2.0,91.0,24,2,280.0,280.0,
10,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2021-04-30 20:32:16,2019-11-26 15:56:28,3416,5.0,368.0,14064,734.0,2016-02-25 17:42:46,0.2.1,,,4.0,30.0,19,2,,,-1.0
11,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-07-05 07:53:48,2021-07-05 02:28:37,2675,695.0,1558.0,13180,,2021-05-26 11:43:06,2.1.1,,,4.0,46.0,23,1,214.0,214.0,
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2021-07-04 13:16:58,2021-07-02 08:46:59,1373,103.0,249.0,11926,422.0,2021-06-29 09:44:35,1.4,357894.0,27530.0,14.0,80.0,28,1,330.0,330.0,-1.0
13,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2021-07-02 11:35:08,2018-04-16 17:32:11,4508,471.0,614.0,11880,566.0,,,,,,36.0,18,3,,,
14,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2021-07-03 11:23:11,2021-07-02 17:25:40,1673,28.0,308.0,11349,995.0,2021-06-30 16:35:55,0.4.12,456362.0,17552.0,25.0,50.0,29,1,753.0,753.0,1.0
15,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2021-06-08 19:20:47,2018-09-30 20:02:46,2117,14.0,16.0,10706,175.0,,,,,,23.0,18,2,,,
16,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2021-06-29 06:42:31,2021-06-29 06:41:48,2800,38.0,240.0,10456,177.0,2021-02-09 04:34:25,2.0,,,1.0,20.0,16,3,,,
17,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2020-10-09 14:33:04,2020-09-22 04:31:32,2682,2.0,21.0,10008,141.0,,,,,,8.0,13,3,,,
18,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2021-07-05 07:42:17,2021-06-30 08:22:10,1322,160.0,1121.0,9870,2165.0,2021-06-15 13:19:08,2.3,,,30.0,138.0,24,1,125.0,125.0,
19,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2020-03-05 00:50:05,2020-03-05 00:50:04,1537,48.0,15.0,9769,6.0,,,,,,3.0,12,3,,,
20,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2021-03-03 18:32:43,2021-01-06 16:32:26,2735,76.0,45.0,9668,193.0,,,,,,10.0,16,2,,,
21,pix2pix,phillipi pix2pix.,https://github.com/phillipi/pix2pix,phillipi/pix2pix,./screenshots/pix2pix.jpeg,图图转换ImageTranslation,True,https://github.com/phillipi/pix2pix,,2016-11-16 22:48:50,2021-06-06 12:09:47,2020-08-05 01:16:42,1486,74.0,119.0,8509,130.0,,,,,,17.0,14,2,,,
22,awesome-semantic-segmentation,awesome-semantic-segmentation.,https://github.com/mrgloom/awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,./screenshots/awesome-semantic-segmentation.jpeg,图像分割,True,https://github.com/mrgloom/awesome-semantic-segmentation,,2015-10-03 10:07:34,2021-05-08 13:40:11,2021-03-08 14:36:09,2096,2.0,19.0,8292,417.0,,,,,,16.0,15,3,,,
23,Keras-GAN,eriklindernoren Keras-GAN.,https://github.com/eriklindernoren/Keras-GAN,eriklindernoren/Keras-GAN,./screenshots/Keras-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/Keras-GAN,MIT,2017-07-11 16:24:53,2021-01-27 15:20:20,2021-01-06 16:32:52,2861,118.0,95.0,8199,185.0,,,,,,16.0,16,2,,,
24,vid2vid,NVIDIA vid2vid.,https://github.com/NVIDIA/vid2vid,NVIDIA/vid2vid,./screenshots/vid2vid.gif,图图转换ImageTranslation,True,https://github.com/NVIDIA/vid2vid,,2018-08-14 23:27:15,2020-01-31 13:18:57,2019-07-03 21:49:56,1109,96.0,62.0,7759,65.0,,,,,,4.0,12,3,,,
25,facebookresearch-detr,facebookresearch detr.,https://github.com/facebookresearch/detr,facebookresearch/detr,./screenshots/facebookresearch-detr.png,目标检测,True,https://github.com/facebookresearch/detr,Apache-2.0,2020-05-26 23:54:52,2021-06-30 10:31:24,2021-06-30 10:31:23,1156,89.0,251.0,7140,42.0,2020-06-29 16:41:01,0.2,,,1.0,21.0,16,3,,,1.0
26,chineseocr_lite,DayBreak-u chineseocr_lite.,https://github.com/DayBreak-u/chineseocr_lite,DayBreak-u/chineseocr_lite,./screenshots/chineseocr_lite.png,OCR文字识别,True,https://github.com/DayBreak-u/chineseocr_lite,GPL-2.0,2020-02-27 10:01:29,2021-06-15 09:21:37,2021-06-15 09:21:36,1420,182.0,107.0,6912,34.0,,,,,,11.0,14,3,,,
27,carla,carla-simulator carla.,https://github.com/carla-simulator/carla,carla-simulator/carla,./screenshots/carla.jpeg,自动驾驶,True,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2021-07-05 09:35:02,2021-04-21 21:38:33,1783,381.0,2888.0,6156,4761.0,2020-12-23 07:08:35,0.9.11,,,22.0,122.0,23,2,75.0,75.0,
